species,state
XF,1
XFT,1
XME,2
XMN,2
XSP,1
XP,1
XPUL,1
XIN,0
EJAX,0
XBlow,0
XWIS,0
XB,2
SIA,2
tado1,1
BO,0
BE,2
SU,0
tado2,1
G,0
XGI,1
XPP,1
phili,1
CAMP,2
MALX,2
tele,1
clin1,1
uly,0
clin2,1
XAA,2
MA,1
cari,0
ms,0
XAD,2
lorq,1
SELR,1
XFA,1
